Business,L2 Category,L3 Category,Bet Category,Upgrade L1 Theme,Upgrade L2 Theme,Cities (For limited geography categories),Brand Name,SKU Name,Item Code,Target Sell Plan for Month 1,Min Buy for first PO (if required by brand),Customer Coverage as per ERP Listing,Exclusivity Type,SKU Closure with Brand,Top 5 SKU for IM Marketing?,Co-Marketing Planned with Brand?,"Validated for ""Upgrade"" Proposition",Include in Overall Tracking,"Sell Story Template
(Landing Date)",SKU Supply Landing Date,Concat,Planned Category Go-Live Date (Supply Readiness),Unnamed: 23,Unnamed: 24,WIP_Status,NPI_Status
FMCG,Shower Gel,,"Bath, Body and Hair",Ingredients,,,Deconstruct,Deconstruct Salicylic Body wash,NPI,500,,,Level 3: Complete SKU Exclusivity,Yes,,,Yes,Yes,,30-Mar,,,1,71,NPI Key Missing,Key Missing
FMCG,Face Wash,,"Bath, Body and Hair",Ingredients,,,Pilgrim,Pilgrim Vitamin C Gel Face wash,NPI,700,,,Level 2: Pricing Exclusivity,Yes,,,Yes,Yes,,,,,1,71,NPI Key Missing,Key Missing
FMCG,Shower Gel,,"Bath, Body and Hair",Ingredients,,,Hula hoop,Foxtale body wash pack of 3 (brightening + exfoliating + detan),NPI,,,,Level 3: Complete SKU Exclusivity,Yes,,,Yes,Yes,,15-Apr,,,1,71,NPI Key Missing,Key Missing
FMCG,Shower Gel,,"Bath, Body and Hair",Ingredients,,,Sanfe,Sanfe Acne and dark spot clearing body wash,NPI,,,,Level 3: Complete SKU Exclusivity,Yes,,,Yes,Yes,,15-Mar,,,1,71,NPI Key Missing,Key Missing
FMCG,Face cream,,"Bath, Body and Hair",Ingredients,,,Pilgrim,Pilgrim Vitamin C Brightening Moisturizer,NPI,,,,Level 3: Complete SKU Exclusivity,Yes,,,Yes,Yes,,,,,1,71,NPI Key Missing,Key Missing
FMCG,Sunscreen,,"Bath, Body and Hair",Ingredients,,,Beardo,"Beardo Ultra Glow Serum Sunscreen SPF 60+ PA++++| UVA/UVB Protection | No White Cast | Ultra Lightweight 3 in 1 with Niacinamide, Ceramides & Hyaluronic Acid | Non-Greasy | Designed for Men | 50g",NPI,,,,Level 3: Complete SKU Exclusivity,Yes,,,Yes,Yes,,,,,1,71,NPI Key Missing,Key Missing
FMCG,Sunscreen,,"Bath, Body and Hair",Ingredients,,,Neude,"Neude SPF 50+ PA++++ Sunscreen Spray Mist with Three Generations of UV Filters, No White Cast, Water-Light Texture",NPI,,,,Level 3: Complete SKU Exclusivity,Yes,,,Yes,Yes,,30-Apr,,,1,71,NPI Key Missing,Key Missing
FMCG,Shampoo,,"Bath, Body and Hair",Ingredients,,,Wishcare,"WishCare Multi Peptide Anti Hairfall Shampoo - Rice Water, Rosemary, Capilia Longa, HA & Caffeine- 120ml",NPI,,,,Level 2: Pricing Exclusivity,Yes,,,Yes,Yes,,15-Mar,,,1,71,NPI Key Missing,Key Missing
FMCG,Shampoo,,"Bath, Body and Hair",Ingredients,,,Wishcare,WishCare Hydrating AHA BHA Anti Dandruff Shampoo -Piroctone Olamine Salicylic Acid LHA Probiotics- 120ml,NPI,,,,Level 2: Pricing Exclusivity,Yes,,,Yes,Yes,,15-Mar,,,1,71,NPI Key Missing,Key Missing
FMCG,Sunscreen,,"Bath, Body and Hair",Ingredients,,,Wishcare,WishCare Niacinamide Oil Balance Sunscreen SPF 50 PA++++ - Light & Matte Sunscreen for Oily Skin - 30ml,NPI,,,,Level 2: Pricing Exclusivity,Yes,,,Yes,Yes,,15-Mar,,,1,71,NPI Key Missing,Key Missing
FMCG,Sunscreen,,"Bath, Body and Hair",Ingredients,,,Wishcare,WishCare Vitamin C Pure Glow Face Sunscreen SPF 50 PA++++ -Broad Spectum Ultra Light & No White Cast - 30ml,NPI,,,,Level 2: Pricing Exclusivity,Yes,,,Yes,Yes,,15-Mar,,,1,71,NPI Key Missing,Key Missing
FMCG,Shampoo,,"Bath, Body and Hair",Ingredients,,,L'Oreal,Pre-kit Shampoo + Conditioner L'Oreal,NPI,,,,Level 3: Complete SKU Exclusivity,Yes,,,Yes,Yes,,15-Mar,,,1,71,NPI Key Missing,Key Missing
FMCG,Shower Gel,,"Bath, Body and Hair",Ingredients,,,The derma Co,The Derma Co Kojic Acid Daily Brightening Body Wash - 250ml,NPI,,,,Level 3: Complete SKU Exclusivity,Yes,,,Yes,Yes,,30-Mar,,,1,71,NPI Key Missing,Key Missing
FMCG,Shower Gel,,"Bath, Body and Hair",Ingredients,,,The derma Co,The Derma Co 1% Salicylic Acid Daily Exfoliating Body Wash - 250ml,NPI,,,,Level 3: Complete SKU Exclusivity,Yes,,,Yes,Yes,,30-Mar,,,1,71,NPI Key Missing,Key Missing
FMCG,Shower Gel,,"Bath, Body and Hair",Ingredients,,,Mamaearth,Mamaearth Vitamin C Moisturizing Body Wash - 275ml,NPI,,,,Level 3: Complete SKU Exclusivity,Yes,,,Yes,Yes,,30-Mar,,,1,71,NPI Key Missing,Key Missing
